Fish	Sex	Length	AnalFinLength	DorsalFinLength	DorsalFinHeight	BodyDepthMidBody	ln(Length)	ln(AnalFinLength)	ln(DorsalFinLength)	ln(DorsalFinHeight)	ln(BodyDepth)
M21	M	28.06	6.6	3.49	4.14	9.91	3.334345075	1.887069649	1.249901736	1.420695788	2.293544348
2	M	28.17	8.2	3.71	6.59	10.25	3.338257582	2.104134154	1.311031877	1.885553349	2.327277706
11	M	28.21	8.05	3.05	6.71	9.9	3.339676525	2.085672091	1.115141591	1.903598951	2.292534757
12	M	28.54	8.09	3.49	6.92	10.16	3.351306612	2.090628731	1.249901736	1.93441577	2.318458442
M19	M	28.69	7.55	3.97	3.82	10.26	3.35654863	2.021547563	1.378766095	1.340250423	2.32825284
16	M	28.76	8.1	3.83	7.25	9.7	3.358985533	2.091864062	1.342864803	1.981001469	2.272125886
M15	M	29.85	8.22	4.22	4.3	10.62	3.39618484	2.106570209	1.439835128	1.458615023	2.362739016
M16	M	30.42	7.37	4.49	4.29	10.66	3.415100287	1.997417706	1.501852702	1.456286733	2.366498419
M17	M	31.3	7.51	4.77	4.25	11.41	3.443618098	2.016235466	1.562346305	1.446918983	2.434490164
7	M	31.51	8.63	4.05	7.62	11.71	3.450304956	2.155244505	1.398716881	2.03077637	2.460443178
M14	M	31.87	8.67	4.16	4.05	10.74	3.461665128	2.159868791	1.425515074	1.398716881	2.373975089
M11	M	32.29	7.44	4.62	5.38	11.47	3.474757585	2.006870849	1.530394705	1.682688374	2.439734931
M18	M	32.33	8.06	6.3	5.12	11.4	3.475995592	2.086913557	1.840549633	1.633154439	2.433613355
M13	M	32.61	8.18	4.96	3.86	11.73	3.48461899	2.101692151	1.601405741	1.350667183	2.462149663
M10	M	32.75	8.07	5.52	4.04	11.84	3.488902962	2.088153482	1.70837786	1.396244692	2.471483629
M9	M	32.78	8.35	4.7	4.01	11.58	3.489818573	2.122261539	1.547562509	1.388791241	2.449279472
M12	M	34.08	7.72	4.6	5.17	12.27	3.528710702	2.043814364	1.526056303	1.642872689	2.507157259
M8	M	34.43	7.93	5.09	5.23	13.01	3.538928277	2.070653036	1.627277831	1.654411278	2.565718293
14	M	34.52	9.59	4.62	8.77	13.11	3.541538866	2.260720889	1.530394705	2.171336806	2.573375298
M7	M	36.17	8.7	6.33	5.04	12.44	3.588230046	2.163323026	1.845300236	1.617406082	2.520917087
M2	M	37.64	8.63	5.22	5.7	13.56	3.628067315	2.155244505	1.652497402	1.740466175	2.607124283
M6	M	38.22	9.12	6.48	6.03	14	3.643358939	2.210469804	1.86872051	1.796747011	2.63905733
M4	M	38.48	9.06	3.76	5.8	13.87	3.650138626	2.20386912	1.324418957	1.757857918	2.629728234
M1	M	38.58	8.67	6.98	6.75	13.68	3.652734007	2.159868791	1.943048917	1.909542505	2.615934912
M5	M	39.8	8.37	5.98	5.85	14.42	3.683866912	2.124653885	1.788420568	1.766441661	2.668616132
M3	M	40.05	9.72	5.99	5.83	15.23	3.690128674	2.274185618	1.790091412	1.763017	2.723267167
