"File"	"Group"	"X."	"duration"	"interval"	"disttomax"	"start.time"	"end.time"	"peak.freq.start."	"peak.ampl.start."	"min.freq.start."	"max.freq.start."	"bandw.start."	"peak.freq.end."	"peak.ampl.end."	"min.freq.end."	"max.freq.end."	"bandw.end."	"peak.freq.centre."	"peak.ampl.centre."	"min.freq.centre."	"max.freq.centre."	"bandw.centre."	"peak.freq.max."	"peak.ampl.max."	"min.freq.max."	"max.freq.max."	"bandw.max."	"Especie"
"23"	"2020-02-23 22-08-00"	1	10	0.0012	"6.1199999999999997E-2"	8e-04	0.3886	0.3898	87498	-70.67	76250	123437	47187	87176	-69.94	72500	105000	32500	87490	-68.1	76250	121562	45312	87180	-67.87	72812	110312	37500	"Centurio senex"
"24"	"2020-02-23 22-08-00"	1	11	8e-04	"2.1999999999999999E-2"	4e-04	0.4106	0.4114	84681	-70.9	42500	115937	73437	84675	-69.21	69375	113125	43750	84678	-68.92	72187	113750	41562	84678	-68.92	72187	113750	41562	"Centurio senex"
"25"	"2020-02-23 22-08-00"	2	1	0.0016	"_"	8e-04	0.0157	0.0173	90636	-64.28	79687	133750	54062	87826	-61.47	76875	105937	29062	88126	-57.9	78125	119062	40937	88126	-57.9	78125	119062	40937	"Centurio senex"
"26"	"2020-02-23 22-08-00"	2	2	0.0012	"6.5199999999999994E-2"	4e-04	0.0809	0.0821	89068	-63.86	75312	112812	37500	85598	-63.81	71250	102500	31250	89057	-61.84	75312	111250	35937	89057	-61.84	75312	111250	35937	"Centurio senex"
"27"	"2020-02-23 22-08-00"	2	3	4e-04	"0.108"	0	0.1889	0.1893	87508	-65.43	77812	120937	43125	87503	-65.11	77812	115625	37812	87508	-65.43	77812	120937	43125	87508	-65.43	77812	120937	43125	"Centurio senex"
"28"	"2020-02-23 22-08-38"	1	1	8e-04	"_"	4e-04	0.012	0.0128	91869	-67.89	77812	123125	45312	91867	-68.9	76562	118750	42187	91866	-67.23	77500	121250	43750	91866	-67.23	77500	121250	43750	"Centurio senex"
"29"	"2020-02-23 22-08-38"	1	2	0.0012	"2.3199999999999998E-2"	4e-04	0.0352	0.0364	90624	-68.64	76562	121562	45000	90921	-69.46	70000	117812	47812	90627	-66.57	76250	120312	44062	90627	-66.57	76250	120312	44062	"Centurio senex"
"30"	"2020-02-23 22-08-38"	1	3	8e-04	"2.8400000000000002E-2"	4e-04	0.0636	0.0644	88773	-69.63	72812	135000	62187	84046	-69.49	71562	114687	43125	84050	-68.49	72812	126250	53437	84050	-68.49	72812	126250	53437	"Centurio senex"
"31"	"2020-02-23 22-08-38"	1	4	8e-04	"3.7600000000000001E-2"	4e-04	0.1012	0.102	83435	-69.16	74062	135312	61250	82833	-69.24	74375	131875	57500	83425	-68.08	74062	132812	58750	83425	-68.08	74062	132812	58750	"Centurio senex"
"32"	"2020-02-23 22-08-38"	1	5	4e-04	"2.24E-2"	0	0.1236	0.124	84998	-68.2	75937	129375	53437	84987	-68.06	75937	111562	35625	84998	-68.2	75937	129375	53437	84998	-68.2	75937	129375	53437	"Centurio senex"
"33"	"2020-02-23 22-08-38"	1	6	8e-04	"3.8399999999999997E-2"	4e-04	0.162	0.1628	86577	-69.54	40000	133125	93125	86565	-68.97	40000	124687	84687	86570	-68.13	40000	130000	90000	86570	-68.13	40000	130000	90000	"Centurio senex"
"34"	"2020-02-23 22-08-38"	1	7	0.0016	"3.8800000000000001E-2"	8e-04	0.2008	0.2024	88439	-67.71	76250	130937	54687	87808	-65.79	76250	113125	36875	87815	-62.14	76250	126562	50312	87815	-62.14	76250	126562	50312	"Centurio senex"
"35"	"2020-02-23 22-08-38"	1	8	0.0012	"2.52E-2"	4e-04	0.226	0.2272	88441	-67.73	75937	133437	57500	84378	-68.64	75000	115937	40937	88440	-65.9	75312	126875	51562	88440	-65.9	75312	126875	51562	"Centurio senex"
"36"	"2020-02-23 22-08-38"	2	1	4e-04	"_"	0	0.0056	0.006	92516	-69.32	73437	131250	57812	92514	-70.74	71250	122812	51562	92516	-69.32	73437	131250	57812	92516	-69.32	73437	131250	57812	"Centurio senex"
