Punto	X	Y	Abu_Lomb	HZ_A 	HS	DA	pH	BH	BDF	MO 	estacion
54	1045091.27624000000	1351953.80609000000	0	0.0	21.5	1.3	6.2	79.2	47.3	15.3	seca
55	1045031.32939000000	1351961.19146000000	0	0.0	17.0	1.1	6.3	95.6	52.2	11.4	seca
56	1044972.74808000000	1351965.19494000000	0	2.3	23.6	1.3	6.2	84.0	73.4	13.1	seca
57	1044914.16484000000	1351971.22845000000	0	2.2	28.2	1.2	6.5	130.1	69.6	13.4	seca
58	1044853.54015000000	1351975.23011000000	0	1.1	34.7	0.9	6.5	140.5	58.6	19.1	seca
59	1044792.23307000000	1351980.58451000000	0	1.9	23.3	1.0	6.4	134.5	32.0	16.3	seca
60	1044732.96939000000	1351985.94094000000	0	0.0	24.1	1.2	6.4	110.4	20.3	14.7	seca
61	1044673.70573000000	1351991.29745000000	1	0.4	32.0	1.0	6.4	25.5	25.5	18.5	seca
62	1044762.11475000000	1352103.27915000000	1	0.0	14.3	1.5	6.1	46.0	19.3	10.9	seca
63	1044892.00415000000	1352172.92170000000	0	0.3	19.3	1.4	6.3	45.0	29.3	10.1	seca
64	1044951.26632000000	1352168.91881000000	1	2.3	24.5	1.0	5.9	104.4	87.6	15.5	seca
65	1045011.89402000000	1352161.53404000000	10	3.9	40.9	1.0	6.5	262.9	31.2	15.0	seca
66	1045071.15818000000	1352155.50134000000	4	3.0	24.2	1.1	6.0	156.7	84.9	17.8	seca
67	1045131.78461000000	1352149.47002000000	0	0.0	29.1	1.0	5.9	78.2	21.4	19.4	seca
68	1045191.73060000000	1352142.76148000000	1	1.0	26.3	1.1	6.8	77.2	4.5	10.9	seca
69	1045251.67529000000	1352137.40631000000	3	1.3	22.8	1.4	6.0	196.7	60.6	14.2	seca
70	1045268.83802000000	1352174.56746000000	2	1.2	19.1	1.2	6.5	238.3	58.0	16.4	seca
71	1045236.11822000000	1352200.92522000000	2	1.7	23.7	1.3	6.4	139.4	23.3	15.0	seca
72	1045176.85540000000	1352205.60441000000	0	1.4	19.1	0.9	5.8	105.7	52.3	10.6	seca
73	1045116.91015000000	1352211.63630000000	0	2.4	18.7	1.2	6.0	155.7	38.8	17.6	seca
74	1045057.64605000000	1352217.66894000000	8	1.2	26.3	1.3	5.9	93.7	8.2	23.2	seca
75	1045017.43597000000	1352241.98963000000	0	0.0	21.2	1.2	5.9	73.5	12.6	16.5	seca
76	1045064.40116000000	1352275.86756000000	0	0.0	23.0	1.4	6.2	69.6	21.5	15.8	seca
77	1045122.28200000000	1352291.48647000000	0	0.0	17.8	1.3	6.0	115.6	21.8	11.4	seca
78	1045181.54602000000	1352285.45394000000	0	1.3	21.9	1.0	6.5	136.1	69.2	17.0	seca
80	1044847.67078000000	1352136.84275000000	1	1.5	40.2	1.0	6.3	69.7	15.2	20.7	seca
81	1044843.61181000000	1352097.63509000000	0	0.7	28.2	1.0	6.1	185.7	21.0	17.2	seca
82	1044902.93426000000	1352091.18091000000	0	0.0	24.6	1.3	6.3	118.8	3.8	13.4	seca
83	1044962.58475000000	1352084.40156000000	0	2.4	27.2	1.1	6.5	140.7	30.8	19.4	seca
84	1045021.90535000000	1352079.90088000000	0	1.9	31.0	0.6	5.9	40.2	90.0	47.7	seca
85	1045082.21036000000	1352074.09899000000	4	2.0	25.9	1.1	6.4	105.8	25.7	16.9	seca
86	1045142.84374000000	1352067.64637000000	0	2.8	27.6	1.0	5.9	140.0	29.0	16.1	seca
87	1045202.49306000000	1352062.16956000000	4	2.2	25.9	1.1	6.3	89.4	19.5	16.0	seca
88	1045261.15956000000	1352056.36630000000	0	1.6	27.9	1.1	6.7	85.4	42.2	16.0	seca
89	1045301.49115000000	1352032.96505000000	0	0.0	14.6	1.4	6.5	170.7	24.9	13.1	seca
90	1044658.21540000000	1351432.12427000000	0	2.2	22.4	1.1	6.3	119.9	94.7	13.2	seca
91	1045108.01153000000	1351509.01193000000	1	1.4	23.9	0.6	6.2	106.8	45.7	19.2	seca
92	1044646.47241000000	1351694.75180000000	8	0.0	25.3	1.2	6.0	101.5	12.4	11.9	seca
93	1045130.21086000000	1351746.77281000000	2	2.1	22.0	1.0	6.4	149.9	106.8	18.1	seca
95	1044706.05825000000	1351929.41746000000	4	1.2	25.5	1.1	5.9	109.2	30.7	14.5	seca
96	1045272.99160000000	1351957.40199000000	0	1.4	30.6	1.2	6.0	139.9	37.5	15.9	seca
97	1045236.29305000000	1351957.92491000000	0	3.0	29.8	1.0	6.5	141.4	70.5	22.0	seca
98	1044714.62873000000	1352027.90131000000	8	2.8	23.9	1.2	6.5	126.9	93.1	18.0	seca
99	1045284.45987000000	1352094.36567000000	1	1.8	21.5	1.2	6.5	119.1	11.2	13.4	seca
100	1045113.73008000000	1351564.57605000000	0	0.0	21.0	1.1	6.7	226.7	46.7	19.1	seca
